year,code,name,total_shares,circulating_shares,restricted_shares,profit,industry_74,industry_level2,industry_level3,concept,product,percentage,comparable,export_ratio,domestic_ratio,notes,q1_report,q2_report,q3_report,annual_report,gross_margin,profit_growth,net_asset_ratio,undistributed_cash,bonus_shares,dividend,quarterly_comparison,beishang_initial,beishang_new,beishang_increase,beishang_decrease,beishang_current,gongmu_initial,gongmu_new,gongmu_increase,gongmu_decrease,gongmu_current,waizi_initial,waizi_new,waizi_increase,waizi_decrease,waizi_current,simu_initial,simu_new,simu_increase,simu_decrease,simu_current,shebao_initial,shebao_new,shebao_increase,shebao_decrease,shebao_current,yanglao_initial,yanglao_new,yanglao_increase,yanglao_decrease,yanglao_current,id,created_date,updated_date,created_by_id,created_by,is_sample
"2026","601628","中国人寿","2826471","2082353","0","3.78","保险","人寿与健康保险","","","寿险健康","93.97","","","100","","1.02","1.45","5.94","","0","","21.59","18.17","","","","","0","0","-4992","3002","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","45","0","1409","","0","0","0","0","69587d4c0d75fb4cb85a30a8","2026-01-03T02:22:04.940000","2026-01-03T02:22:04.940000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","601601","中国太保","962034","684504","0","4.67","保险","多元化保险","","","财产人寿","98.03","","","100","","1.00","2.90","4.75","","0","","16.60","19.47","","","","","0","0","-5795","16075","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","69587c741d323b751145c28c","2026-01-03T02:18:28.238000","2026-01-03T02:18:28.238000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","601336","新华保险","311955","208544","0","8.41","保险","多元化保险","","","传统型保险","98.03","","","100","","1.89","4.74","10.53","","0","","25.88","42.28","","","","","0","0","-2406","3645","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","2825","","0","0","0","0","69587bcf4d3e748ee332a997","2026-01-03T02:15:43.972000","2026-01-03T02:15:43.972000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","601601","中国太保","962034","684504","0","4.67","","多元化保险","","","财产人寿","98.03","","","100","","1.00","2.90","4.75","","0","","16.60","19.47","","","","","0","0","-5795","16075","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","69587a96e0b98e9027dc8702","2026-01-03T02:10:30.221000","2026-01-03T02:10:30.221000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","601336","新华保险","311955","208544","0","8.41","","多元化保险","","","传统型保险","60.77","","","100","","1.89","4.74","10.53","","0","","25.88","42.28","","","","","0","0","-2406","3645","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","2825","","0","0","0","0","695879ee49b7120d41f91cbb","2026-01-03T02:07:42.965000","2026-01-03T02:07:42.965000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","601319","中国人保","4422399","354776","0","0.97","保险","多元化保险","","","财产人寿","90.50","","","100","","0.29","0.60","1.06","","0","","16.70","5.21","","","","","0","0","-10539","24450","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","4538","0","9750","","0","0","0","0","6958792413b6a99acd7e5248","2026-01-03T02:04:20.634000","2026-01-03T02:04:20.634000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","601318","中国平安","1810764","1066007","0","7.16","保险","多元化保险","","","人寿财产","80.22","","","100","","1.54","3.87","7.56","","0","","13.80","43.15","","","","","0","0","-18200","45705","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6958782cdded7f746f20eb00","2026-01-03T02:00:12.037000","2026-01-03T02:00:12.037000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000995","皇台酒业","17741","17741","0","0.16","白酒","","","","白酒","93.23","","","100","","0.02","-0.03","-0.04","","66.15","","20.27","-3.37","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","69584e10d9e58afb018fdbc9","2026-01-02T23:00:32.790000","2026-01-02T23:00:32.790000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000860","顺鑫农业","74177","74177","0","0.31","白酒","","","","白酒","78.51","","","100","","0.38","0.23","0.10","","36.03","","3.35","3.72","","","","","0","115","0","413","","0","0","0","0","","1120","0","0","1120","","0","0","0","0","","0","0","0","0","","0","0","0","0","69584d80ecff1bf2ee72c142","2026-01-02T22:58:08.173000","2026-01-02T22:58:08.173000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000596","古井贡酒","53860","40860","0","10.44","白酒","","","","中高档白酒","98.27","","99.96","0.04","","4.41","6.93","7.49","","79.9","","23.89","34.86","","","","","0","49","0","564","","0","0","-319","1359","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","695834b9f72845dc90d3278e","2026-01-02T21:12:25.769000","2026-01-02T21:12:25.769000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
